Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
2019-08-11T00:00:00.000,CHEV,4D,,GRY,W133AB,MS,10300 S. Doty,(773) 568-8495,2883323
2019-08-11T00:00:00.000,CHEV,4D,,WHI,AL81449,IL,400 E. Lower Wacker,(312) 744-7550,0209713
2019-08-11T00:00:00.000,CHEV,4D,,WHI,A415032,IL,10300 S. Doty,(773) 568-8495,2883325
2019-08-11T00:00:00.000,CHEV,4D,,TAN,W304AF,MO,10300 S. Doty,(773) 568-8495,2883313
2019-08-11T00:00:00.000,CHEV,4D,,BLU,AC53659,IL,10300 S. Doty,(773) 568-8495,2883312
2019-08-11T00:00:00.000,CHEV,LL,,GLD,,IL,701 N. Sacramento,(773) 265-7605,6966012
2019-08-11T00:00:00.000,CHEV,LL,TK,GRN,BN31797,IL,701 N. Sacramento,(773) 265-7605,6965988
2019-08-11T00:00:00.000,CHEV,LL,,BLU,Q620787,IL,701 N. Sacramento,(773) 265-7605,6965993
2019-08-11T00:00:00.000,CHEV,LL,,SIL,AN69512,IL,701 N. Sacramento,(773) 265-7605,6965966
2019-08-11T00:00:00.000,CHEV,LL,,WHI,DUK5507,MI,400 E. Lower Wacker,(312) 744-7550,0209677
2019-08-11T00:00:00.000,CHEV,PK,,BLK,618U037,IL,701 N. Sacramento,(773) 265-7605,6965982
2019-08-11T00:00:00.000,CHEV,SW,,GRY,AT88727,IL,701 N. Sacramento,(773) 265-7605,6966001
2019-08-11T00:00:00.000,CHEV,SW,,SIL,AD58279,IL,701 N. Sacramento,(773) 265-7605,6965986
2019-08-11T00:00:00.000,CHEV,SW,,MAR,,IL,701 N. Sacramento,(773) 265-7605,6965943z
2019-08-11T00:00:00.000,CHRY,4D,,SIL,AS29119,IL,701 N. Sacramento,(773) 265-7605,6966016
2019-08-11T00:00:00.000,CYCL,MK,,BLK,,,701 N. Sacramento,(773) 265-7605,6966010
2019-08-11T00:00:00.000,DODG,4D,,ONG,BF21975,IL,10300 S. Doty,(773) 568-8495,2883295
2019-08-11T00:00:00.000,DODG,4D,,GRN,AM53215,IL,10300 S. Doty,(773) 568-8495,2883298
2019-08-11T00:00:00.000,DODG,LL,,GRY,BF22336,IL,701 N. Sacramento,(773) 265-7605,6966007
2019-08-11T00:00:00.000,DODG,PK,TK,RED,1275770B,IL,10300 S. Doty,(773) 568-8495,2883306
2019-08-11T00:00:00.000,DODG,PK,,BLU,2253892B,IL,10300 S. Doty,(773) 568-8495,2883318
2019-08-11T00:00:00.000,DODG,VN,,MAR,787TDG,WI,10300 S. Doty,(773) 568-8495,2883326
2019-08-11T00:00:00.000,FORD,2D,,WHI,146886F,IL,10300 S. Doty,(773) 568-8495,2883316
2019-08-11T00:00:00.000,FORD,2D,,BLU,302ZBH,KY,10300 S. Doty,(773) 568-8495,2883302
2019-08-11T00:00:00.000,FORD,4D,,WHI,BE84441,IL,10300 S. Doty,(773) 568-8495,2883319
2019-08-11T00:00:00.000,FORD,4D,,WHI,BA80743,IL,400 E. Lower Wacker,(312) 744-7550,0209702
2019-08-11T00:00:00.000,FORD,4D,,SIL,AL71389,IL,701 N. Sacramento,(773) 265-7605,6965956
2019-08-11T00:00:00.000,FORD,4D,,WHI,R313170,IL,701 N. Sacramento,(773) 265-7605,6965998
2019-08-11T00:00:00.000,FORD,LL,,LGR,BB84679,IL,701 N. Sacramento,(773) 265-7605,6966014
2019-08-11T00:00:00.000,FORD,LL,,BLU,R196009,IL,701 N. Sacramento,(773) 265-7605,6965954
2019-08-11T00:00:00.000,FORD,LL,,SIL,799671,IL,701 N. Sacramento,(773) 265-7605,6966004
2019-08-11T00:00:00.000,FORD,LL,,GRY,875U231,IL,701 N. Sacramento,(773) 265-7605,6965957
2019-08-11T00:00:00.000,FORD,LL,,RED,BF16687,IL,400 E. Lower Wacker,(312) 744-7550,0209708
2019-08-11T00:00:00.000,FORD,LL,,GRY,AX87296,IL,701 N. Sacramento,(773) 265-7605,6965989
2019-08-11T00:00:00.000,FORD,PK,,BLU,2708571B,IL,701 N. Sacramento,(773) 265-7605,6965984
2019-08-11T00:00:00.000,FORD,PK,,WHI,2200547B,IL,10300 S. Doty,(773) 568-8495,2883309
2019-08-11T00:00:00.000,FORD,SW,,SIL,ZV47546,IL,701 N. Sacramento,(773) 265-7605,6965939
2019-08-11T00:00:00.000,FORD,VN,,WHI,BH87032,IL,10300 S. Doty,(773) 568-8495,2883320
2019-08-11T00:00:00.000,GMC,LL,,BLK,DL6818L,IL,400 E. Lower Wacker,(312) 744-7550,0209695
2019-08-11T00:00:00.000,GMC,LL,,GRY,AJ61299,IL,10300 S. Doty,(773) 568-8495,2883324
2019-08-11T00:00:00.000,GMC,PK,,DGR,32335ZB,IL,701 N. Sacramento,(773) 265-7605,6966000
2019-08-11T00:00:00.000,HOND,2D,,GRY,ZU89454,IL,701 N. Sacramento,(773) 265-7605,6965947
2019-08-11T00:00:00.000,HOND,4D,,SIL,BK19594,IL,701 N. Sacramento,(773) 265-7605,6965997
2019-08-11T00:00:00.000,HOND,4D,,GRN,AT95131,IL,701 N. Sacramento,(773) 265-7605,6965981
2019-08-11T00:00:00.000,HOND,4D,,SIL,Z549651,IL,701 N. Sacramento,(773) 265-7605,6965978
2019-08-11T00:00:00.000,HOND,4D,,WHI,AD37273,IL,400 E. Lower Wacker,(312) 744-7550,0209705
2019-08-11T00:00:00.000,HOND,4D,,RED,AF56086,IL,10300 S. Doty,(773) 568-8495,2883296
2019-08-11T00:00:00.000,HOND,4D,,BLK,154MDC,IN,400 E. Lower Wacker,(312) 744-7550,0209710
2019-08-11T00:00:00.000,HOND,LL,,BLK,Q814701,IL,701 N. Sacramento,(773) 265-7605,6965960
2019-08-11T00:00:00.000,HOND,LL,,MAR,AR24653,IL,701 N. Sacramento,(773) 265-7605,6965980
2019-08-11T00:00:00.000,HOND,LL,,BLK,AX21298,IL,701 N. Sacramento,(773) 265-7605,6965949
2019-08-11T00:00:00.000,HOND,LL,,BLK,V754755,IL,701 N. Sacramento,(773) 265-7605,6965991
2019-08-11T00:00:00.000,HOND,LL,,GRY,Q824527,IL,701 N. Sacramento,(773) 265-7605,6965955
2019-08-11T00:00:00.000,HOND,LL,,RED,AX87181,IL,10300 S. Doty,(773) 568-8495,2883300
2019-08-11T00:00:00.000,HOND,VN,,SIL,AD58065,IL,701 N. Sacramento,(773) 265-7605,6965941
2019-08-11T00:00:00.000,HOND,VN,,SIL,Q659369,IL,400 E. Lower Wacker,(312) 744-7550,0209701
2019-08-11T00:00:00.000,HYUN,4D,,SIL,E597760,IL,701 N. Sacramento,(773) 265-7605,6965973
2019-08-11T00:00:00.000,HYUN,4D,,RED,BK12067,IL,10300 S. Doty,(773) 568-8495,2883321
2019-08-11T00:00:00.000,HYUN,4D,,GRY,AT94659,IL,701 N. Sacramento,(773) 265-7605,6965996
2019-08-11T00:00:00.000,HYUN,4D,,GRY,Y706134,IL,701 N. Sacramento,(773) 265-7605,6965990
2019-08-11T00:00:00.000,HYUN,4D,,WHI,Z534921,IL,400 E. Lower Wacker,(312) 744-7550,0209712
2019-08-11T00:00:00.000,HYUN,LL,,GRY,R886425,IL,400 E. Lower Wacker,(312) 744-7550,0209684
2019-08-11T00:00:00.000,HYUN,LL,,SIL,ILUS24,FL,701 N. Sacramento,(773) 265-7605,6965945
2019-08-11T00:00:00.000,HYUN,LL,,SIL,FP54970,IL,400 E. Lower Wacker,(312) 744-7550,0209709
2019-08-11T00:00:00.000,INFI,4D,,WHI,881U464,IL,701 N. Sacramento,(773) 265-7605,6965953
2019-08-11T00:00:00.000,INFI,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2883299
2019-08-11T00:00:00.000,INFI,4D,,GRY,BB95954,IL,701 N. Sacramento,(773) 265-7605,6965958
2019-08-11T00:00:00.000,INTL,LL,TK,WHI,,,701 N. Sacramento,(773) 265-7605,6966015
2019-08-11T00:00:00.000,JEEP,LL,,GRY,BC74195,IL,701 N. Sacramento,(773) 265-7605,6965975
2019-08-11T00:00:00.000,JEEP,LL,,BLK,AY65492,IL,701 N. Sacramento,(773) 265-7605,6965946
2019-08-11T00:00:00.000,JEEP,LL,,SIL,BB94831,IL,701 N. Sacramento,(773) 265-7605,6966011
2019-08-11T00:00:00.000,KIA,4D,,WHI,BM70312,IL,701 N. Sacramento,(773) 265-7605,6965942
2019-08-11T00:00:00.000,KIA,4D,,SIL,Z132881,IL,701 N. Sacramento,(773) 265-7605,6965992
2019-08-11T00:00:00.000,LEXS,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2883307
2019-08-11T00:00:00.000,LINC,4D,,TAN,AT58579,IL,10300 S. Doty,(773) 568-8495,2883294
2019-08-11T00:00:00.000,LINC,LL,,WHI,AU89936,IL,701 N. Sacramento,(773) 265-7605,6965995
2019-08-11T00:00:00.000,MAZD,4D,,BLU,BH19405,IL,701 N. Sacramento,(773) 265-7605,6965948
2019-08-11T00:00:00.000,MAZD,4D,,DBL,BJN487,MI,701 N. Sacramento,(773) 265-7605,6965964
2019-08-11T00:00:00.000,MERC,4D,,MAR,Z539757,IL,400 E. Lower Wacker,(312) 744-7550,0209696
2019-08-11T00:00:00.000,MERZ,4D,,BLK,Z477373,IL,10300 S. Doty,(773) 568-8495,2883310
2019-08-11T00:00:00.000,MITS,LL,,DBL,665U094,IL,701 N. Sacramento,(773) 265-7605,6965968
2019-08-11T00:00:00.000,NISS,2D,,WHI,R592994,IL,701 N. Sacramento,(773) 265-7605,6965999
2019-08-11T00:00:00.000,NISS,4D,,BLK,ZX75248,IL,701 N. Sacramento,(773) 265-7605,6965974
2019-08-11T00:00:00.000,NISS,4D,,BLK,P493991,IL,701 N. Sacramento,(773) 265-7605,6965987
2019-08-11T00:00:00.000,NISS,4D,,GRY,AT96637,IL,701 N. Sacramento,(773) 265-7605,6965985
2019-08-11T00:00:00.000,NISS,4D,,TAN,Z351112,IL,701 N. Sacramento,(773) 265-7605,6965972
2019-08-11T00:00:00.000,NISS,4D,,GRY,FL407AAV,IN,400 E. Lower Wacker,(312) 744-7550,0209655
2019-08-11T00:00:00.000,NISS,4D,,GRY,V390926,IL,701 N. Sacramento,(773) 265-7605,6965959
2019-08-11T00:00:00.000,NISS,SW,,BLK,BE32023,IL,701 N. Sacramento,(773) 265-7605,6965937
2019-08-11T00:00:00.000,NISS,SW,,GRY,BL46901,IL,701 N. Sacramento,(773) 265-7605,6966006
2019-08-11T00:00:00.000,PONT,4D,,GRY,234801,IL,10300 S. Doty,(773) 568-8495,2883315
2019-08-11T00:00:00.000,PONT,4D,,RED,AT53284,IL,701 N. Sacramento,(773) 265-7605,6965983
2019-08-11T00:00:00.000,PONT,4D,,RED,BF29427,IL,10300 S. Doty,(773) 568-8495,2883311
2019-08-11T00:00:00.000,PONT,SW,,GRY,BB81939,IL,701 N. Sacramento,(773) 265-7605,6965967
2019-08-11T00:00:00.000,SAA,4D,,BLK,AG90661,IL,701 N. Sacramento,(773) 265-7605,6965951
2019-08-11T00:00:00.000,SCIO,4D,,GRY,Z319578,IL,701 N. Sacramento,(773) 265-7605,6966008
2019-08-11T00:00:00.000,SUBA,4D,,SIL,AE14252,IL,701 N. Sacramento,(773) 265-7605,6965936
2019-08-11T00:00:00.000,SUBA,SW,,GLD,AG27229,IL,701 N. Sacramento,(773) 265-7605,6965976
2019-08-11T00:00:00.000,SUBA,SW,,CRM,E437871,IL,701 N. Sacramento,(773) 265-7605,6965963
2019-08-11T00:00:00.000,SUBA,SW,,WHI,AD43063,IL,701 N. Sacramento,(773) 265-7605,6965938
2019-08-11T00:00:00.000,TOYT,4D,,BLU,BLU890,IN,10300 S. Doty,(773) 568-8495,2883304
2019-08-11T00:00:00.000,TOYT,4D,,GRY,BP31383,IL,400 E. Lower Wacker,(312) 744-7550,0209711
2019-08-11T00:00:00.000,TOYT,4D,,GRY,R889958,IL,701 N. Sacramento,(773) 265-7605,6966003
2019-08-11T00:00:00.000,TOYT,4D,,SIL,BE64965,IL,701 N. Sacramento,(773) 265-7605,6965952
2019-08-11T00:00:00.000,TOYT,4D,,GRY,3630355,IL,400 E. Lower Wacker,(312) 744-7550,0209665
2019-08-11T00:00:00.000,TOYT,4D,,WHI,BN45038,IL,701 N. Sacramento,(773) 265-7605,6966005
2019-08-11T00:00:00.000,TOYT,4D,,BLK,V855923,IL,701 N. Sacramento,(773) 265-7605,6965961
2019-08-11T00:00:00.000,TOYT,4D,,GRY,E238119,IL,701 N. Sacramento,(773) 265-7605,6966002
2019-08-11T00:00:00.000,TOYT,4D,,SIL,BM18309,IL,701 N. Sacramento,(773) 265-7605,6966009
2019-08-11T00:00:00.000,TOYT,4H,,RED,800VCX,WI,400 E. Lower Wacker,(312) 744-7550,0209706
2019-08-11T00:00:00.000,TOYT,LL,,GRY,FP86858,IL,10300 S. Doty,(773) 568-8495,2883327
2019-08-11T00:00:00.000,TOYT,LL,,SIL,590599,IL,701 N. Sacramento,(773) 265-7605,6965971
2019-08-11T00:00:00.000,TOYT,VN,,YEL,,IL,10300 S. Doty,(773) 568-8495,2883297
2019-08-11T00:00:00.000,VOLK,2D,,LBL,AX21772,IL,701 N. Sacramento,(773) 265-7605,6965940
2019-08-11T00:00:00.000,VOLK,4D,,BLK,N576449,IL,701 N. Sacramento,(773) 265-7605,6965950
2019-08-11T00:00:00.000,VOLK,LL,,WHI,AV25288,IL,701 N. Sacramento,(773) 265-7605,6965979
2019-08-11T00:00:00.000,VOLV,4D,,BLU,AX63247,IL,701 N. Sacramento,(773) 265-7605,6965935
2019-08-11T00:00:00.000,VOLV,LL,,SIL,BF26974,IL,10300 S. Doty,(773) 568-8495,2883322
2019-08-10T00:00:00.000,AUDI,LL,,SIL,AU17981,IL,10300 S. Doty,(773) 568-8495,2883099
2019-08-10T00:00:00.000,BMW,4D,,BLU,RASTACC,IL,10300 S. Doty,(773) 568-8495,2883157
2019-08-10T00:00:00.000,BMW,4D,,BLU,AG94513,IL,10300 S. Doty,(773) 568-8495,2883142
2019-08-10T00:00:00.000,BMW,4D,,WHI,G101140,IL,701 N. Sacramento,(773) 265-7605,6965927
2019-08-10T00:00:00.000,BUIC,4D,,BLK,LIZI1S,IL,10300 S. Doty,(773) 568-8495,2883176
2019-08-10T00:00:00.000,BUIC,4D,,RED,BK44285,IL,10300 S. Doty,(773) 568-8495,2883274
2019-08-10T00:00:00.000,BUIC,4D,,SIL,BL85053,IL,701 N. Sacramento,(773) 265-7605,6965921
2019-08-10T00:00:00.000,BUIC,4D,,SIL,BE87384,IL,10300 S. Doty,(773) 568-8495,2883127
2019-08-10T00:00:00.000,BUIC,LL,,BLK,365561,IL,701 N. Sacramento,(773) 265-7605,6965915
2019-08-10T00:00:00.000,BUIC,LL,TK,TAN,,IL,10300 S. Doty,(773) 568-8495,2883277
2019-08-10T00:00:00.000,BUIC,VN,TK,LBL,AX13885,IL,701 N. Sacramento,(773) 265-7605,6965922
2019-08-10T00:00:00.000,CADI,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2883287
2019-08-10T00:00:00.000,CADI,LL,,SIL,P349786,IL,701 N. Sacramento,(773) 265-7605,6965854
2019-08-10T00:00:00.000,CHEV,4D,,GRY,Q385141,IL,10300 S. Doty,(773) 568-8495,2883128
2019-08-10T00:00:00.000,CHEV,4D,,SIL,AB64875,IL,701 N. Sacramento,(773) 265-7605,6965899
2019-08-10T00:00:00.000,CHEV,4D,,WHI,PS4L9E,MN,10300 S. Doty,(773) 568-8495,2883166
2019-08-10T00:00:00.000,CHEV,4D,,SIL,AE61023,IL,400 E. Lower Wacker,(312) 744-7550,0209601
2019-08-10T00:00:00.000,CHEV,4D,,TAN,G922151,IL,10300 S. Doty,(773) 568-8495,2883267
2019-08-10T00:00:00.000,CHEV,4D,,SIL,AV95213,IL,10300 S. Doty,(773) 568-8495,2883268
2019-08-10T00:00:00.000,CHEV,4D,,WHI,P330126,IL,400 E. Lower Wacker,(312) 744-7550,0209631
2019-08-10T00:00:00.000,CHEV,4D,,GRY,986UGP,MN,400 E. Lower Wacker,(312) 744-7550,0209591
2019-08-10T00:00:00.000,CHEV,4D,,RED,BA32546,IL,10300 S. Doty,(773) 568-8495,2883197
2019-08-10T00:00:00.000,CHEV,4D,,GRY,AC93412,IL,400 E. Lower Wacker,(312) 744-7550,0209587
2019-08-10T00:00:00.000,CHEV,4D,,RED,AS21457,IL,10300 S. Doty,(773) 568-8495,2883293
2019-08-10T00:00:00.000,CHEV,4D,,WHI,BE25154,IL,701 N. Sacramento,(773) 265-7605,6965859
2019-08-10T00:00:00.000,CHEV,4D,,TAN,Z946707,IL,400 E. Lower Wacker,(312) 744-7550,0209581
2019-08-10T00:00:00.000,CHEV,4D,,SIL,BD73044,IL,701 N. Sacramento,(773) 265-7605,6965861
2019-08-10T00:00:00.000,CHEV,4D,,BLK,G391943,IL,701 N. Sacramento,(773) 265-7605,6965860
2019-08-10T00:00:00.000,CHEV,4D,,SIL,AY90772,IL,701 N. Sacramento,(773) 265-7605,6965903
2019-08-10T00:00:00.000,CHEV,4D,,DBL,,IL,10300 S. Doty,(773) 568-8495,2883285
2019-08-10T00:00:00.000,CHEV,LL,,BLK,BF18116,IL,10300 S. Doty,(773) 568-8495,2883104
2019-08-10T00:00:00.000,CHEV,LL,,MAR,BN74205,IL,10300 S. Doty,(773) 568-8495,2883291
2019-08-10T00:00:00.000,CHEV,LL,,SIL,BC43764,IL,10300 S. Doty,(773) 568-8495,2883288
2019-08-10T00:00:00.000,CHEV,LL,,TAN,AS62122,IL,701 N. Sacramento,(773) 265-7605,6965913
2019-08-10T00:00:00.000,CHEV,LL,,GRY,JLN2114,TX,10300 S. Doty,(773) 568-8495,2883117
2019-08-10T00:00:00.000,CHEV,PK,,BLK,2472227B,IL,701 N. Sacramento,(773) 265-7605,6965879
2019-08-10T00:00:00.000,CHEV,VN,,GLD,AZ81423,IL,701 N. Sacramento,(773) 265-7605,6965868
2019-08-10T00:00:00.000,CHRY,2D,,WHI,674751,IL,10300 S. Doty,(773) 568-8495,2883092
2019-08-10T00:00:00.000,CHRY,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2883278
2019-08-10T00:00:00.000,CHRY,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6965889
2019-08-10T00:00:00.000,CHRY,LL,,BLK,460910,IL,10300 S. Doty,(773) 568-8495,2883156
2019-08-10T00:00:00.000,CHRY,SW,,BLU,307277,IL,701 N. Sacramento,(773) 265-7605,6965890
2019-08-10T00:00:00.000,CHRY,VN,,BLU,ABB3902,WI,400 E. Lower Wacker,(312) 744-7550,0209620
2019-08-10T00:00:00.000,DODG,2D,,RED,BA69998,IL,10300 S. Doty,(773) 568-8495,2883275
2019-08-10T00:00:00.000,DODG,4D,,GRY,X812904,IL,400 E. Lower Wacker,(312) 744-7550,0209609
2019-08-10T00:00:00.000,DODG,4D,,RED,619XAW,MN,10300 S. Doty,(773) 568-8495,2883286
2019-08-10T00:00:00.000,DODG,4D,,BLK,KVW3035,PA,10300 S. Doty,(773) 568-8495,2883270
2019-08-10T00:00:00.000,DODG,LL,,SIL,BG93668,IL,701 N. Sacramento,(773) 265-7605,6965887
2019-08-10T00:00:00.000,DODG,LL,,BLK,BL22073,IL,701 N. Sacramento,(773) 265-7605,6965866
2019-08-10T00:00:00.000,DODG,LL,,BLK,478627,IL,10300 S. Doty,(773) 568-8495,2883105
2019-08-10T00:00:00.000,DODG,PK,,BLK,2619718B,IL,701 N. Sacramento,(773) 265-7605,6965901
2019-08-10T00:00:00.000,DODG,VN,TK,WHI,AZ31388,IL,701 N. Sacramento,(773) 265-7605,6965878
2019-08-10T00:00:00.000,DODG,VN,,BLU,BSD192,MN,10300 S. Doty,(773) 568-8495,2883123
2019-08-10T00:00:00.000,DODG,VN,,SIL,CDKM11,FL,10300 S. Doty,(773) 568-8495,2883115
2019-08-10T00:00:00.000,FORD,4D,,WHI,AS50206,IL,10300 S. Doty,(773) 568-8495,2883239
2019-08-10T00:00:00.000,FORD,4D,,TAN,H490998,IL,701 N. Sacramento,(773) 265-7605,6965933
2019-08-10T00:00:00.000,FORD,4D,,WHI,2479577B,IL,10300 S. Doty,(773) 568-8495,484253
2019-08-10T00:00:00.000,FORD,4D,,GRN,BE33043,IL,10300 S. Doty,(773) 568-8495,2883240
2019-08-10T00:00:00.000,FORD,4D,,WHI,BG69682,IL,701 N. Sacramento,(773) 265-7605,6965916
2019-08-10T00:00:00.000,FORD,4D,,SIL,AP68181,IL,10300 S. Doty,(773) 568-8495,2883172
2019-08-10T00:00:00.000,FORD,4D,,SIL,AN71183,IL,10300 S. Doty,(773) 568-8495,2883255
2019-08-10T00:00:00.000,FORD,4D,,SIL,AW88937,IL,10300 S. Doty,(773) 568-8495,2883078
2019-08-10T00:00:00.000,FORD,4D,,BLK,AR65509,IL,701 N. Sacramento,(773) 265-7605,6965914
2019-08-10T00:00:00.000,FORD,LL,,BLU,AF12151,IL,10300 S. Doty,(773) 568-8495,2883283
2019-08-10T00:00:00.000,FORD,LL,,BRZ,AX39449,IL,10300 S. Doty,(773) 568-8495,2883250
2019-08-10T00:00:00.000,FORD,LL,,SIL,852U808,IL,701 N. Sacramento,(773) 265-7605,6965925
2019-08-10T00:00:00.000,FORD,LL,,WHI,V15499,IL,701 N. Sacramento,(773) 265-7605,6965892
2019-08-10T00:00:00.000,FORD,PK,,GRY,2599920B,IL,10300 S. Doty,(773) 568-8495,2883243
2019-08-10T00:00:00.000,FORD,VN,,WHI,2714465B,IL,10300 S. Doty,(773) 568-8495,2883273
2019-08-10T00:00:00.000,GMC,LL,,RED,Q621417,IL,701 N. Sacramento,(773) 265-7605,6965884
2019-08-10T00:00:00.000,GMC,LL,,TAN,BVL4639,TX,10300 S. Doty,(773) 568-8495,2883227
2019-08-10T00:00:00.000,HOND,4D,,BLU,BQ13192,IL,10300 S. Doty,(773) 568-8495,2883289
2019-08-10T00:00:00.000,HOND,4D,,WHI,BB15633,IL,10300 S. Doty,(773) 568-8495,2883254
2019-08-10T00:00:00.000,HOND,4D,,SIL,E479689,IL,701 N. Sacramento,(773) 265-7605,6965886
2019-08-10T00:00:00.000,HOND,4D,,GRY,BF32229,IL,400 E. Lower Wacker,(312) 744-7550,0209612
2019-08-10T00:00:00.000,HOND,4D,,SIL,AV63197,IL,701 N. Sacramento,(773) 265-7605,6965850
2019-08-10T00:00:00.000,HOND,4D,,BLK,BN32312,IL,10300 S. Doty,(773) 568-8495,2883292
2019-08-10T00:00:00.000,HOND,4D,,SIL,J805954,IL,701 N. Sacramento,(773) 265-7605,6965912
2019-08-10T00:00:00.000,HOND,LL,,MAR,E633423,IL,400 E. Lower Wacker,(312) 744-7550,0209624
2019-08-10T00:00:00.000,HOND,LL,,BLK,BC53299,IL,400 E. Lower Wacker,(312) 744-7550,0209615
2019-08-10T00:00:00.000,HOND,LL,,GRY,E204559,IL,400 E. Lower Wacker,(312) 744-7550,0209597
2019-08-10T00:00:00.000,HOND,LL,,GLD,BEESAFE,MI,10300 S. Doty,(773) 568-8495,2883088
2019-08-10T00:00:00.000,HOND,LL,,SIL,8793181,IL,400 E. Lower Wacker,(312) 744-7550,0209619
2019-08-10T00:00:00.000,HOND,LL,,WHI,C488CG,UT,701 N. Sacramento,(773) 265-7605,6965851
2019-08-10T00:00:00.000,HYUN,4D,,RED,BD23217,IL,10300 S. Doty,(773) 568-8495,2883111
2019-08-10T00:00:00.000,HYUN,4D,,RED,AT14856,IL,10300 S. Doty,(773) 568-8495,2883290
2019-08-10T00:00:00.000,HYUN,4D,,SIL,AX96951,IL,701 N. Sacramento,(773) 265-7605,6965906
2019-08-10T00:00:00.000,HYUN,4D,,BLK,V934459,IL,701 N. Sacramento,(773) 265-7605,6965923
2019-08-10T00:00:00.000,HYUN,LL,,BLK,Q400622,IL,701 N. Sacramento,(773) 265-7605,6965862
2019-08-10T00:00:00.000,HYUN,LL,,BLK,Q202361,IL,701 N. Sacramento,(773) 265-7605,6965917
2019-08-10T00:00:00.000,INFI,LL,,BLK,R893528,IL,701 N. Sacramento,(773) 265-7605,6965902
2019-08-10T00:00:00.000,JAGU,4D,,DGR,904TDE,KY,701 N. Sacramento,(773) 265-7605,6965920
2019-08-10T00:00:00.000,JEEP,LL,,BLK,BN77400,IL,10300 S. Doty,(773) 568-8495,2883189
2019-08-10T00:00:00.000,JEEP,LL,,BLK,Q990359,IL,400 E. Lower Wacker,(312) 744-7550,0209643
2019-08-10T00:00:00.000,JEEP,LL,,WHI,AT75311,IL,701 N. Sacramento,(773) 265-7605,6965867
2019-08-10T00:00:00.000,JEEP,LL,,BLK,BB90835,IL,701 N. Sacramento,(773) 265-7605,6965877
2019-08-10T00:00:00.000,JEEP,LL,,GRY,BK37502,IL,400 E. Lower Wacker,(312) 744-7550,0209603
2019-08-10T00:00:00.000,JEEP,LL,TK,BLU,,IL,10300 S. Doty,(773) 568-8495,2883272
2019-08-10T00:00:00.000,JEEP,LL,,RED,BF25336,IL,10300 S. Doty,(773) 568-8495,2883183
2019-08-10T00:00:00.000,JEEP,LL,,GLD,361624,IL,701 N. Sacramento,(773) 265-7605,6965904
2019-08-10T00:00:00.000,JEEP,LL,,BLK,00203569,IL,400 E. Lower Wacker,(312) 744-7550,0209566
